years,cumsum
1,0.06263093788063337
2,0.22326431181485992
3,0.3982947624847747
4,0.5852862362971986
5,0.730231425091352
6,0.8431912302070645
7,0.9286967113276492
8,0.9861875761266747
9,0.996857490864799
10,0.9989037758830694
